Borough,Number of Tax Payers,Mean Tax Payer Income (£),Median Tax Payer Income (£),Year
Kingston upon Thames,77000,26400,18800,2009
Lambeth,126000,21900,15300,2009
Lewisham,129000,19400,15300,2009
Merton,109000,27900,18400,2009
Newham,95000,17000,14700,2009
Redbridge,98000,21700,16900,2009
Richmond upon Thames,113000,36700,21100,2009
Southwark,120000,22500,15400,2009
Sutton,82000,21900,17000,2009
Tower Hamlets,81000,25000,16500,2009
Waltham Forest,114000,19600,15100,2009
Wandsworth,144000,36300,21000,2009
Westminster,113000,49100,23000,2009
City of London,9000,137000,61900,2010
Barking and Dagenham,76000,23100,19400,2010
Barnet,167000,41600,24300,2010
Bexley,167000,27600,22100,2010
Brent,145000,26100,19600,2010
Bromley,163000,36500,24900,2010
Camden,103000,68900,28400,2010
Croydon,166000,29700,23100,2010
Ealing,156000,32400,21800,2010
Enfield,134000,30600,22100,2010
Greenwich,113000,32800,21400,2010
Hackney,102000,29800,22200,2010
Hammersmith and Fulham,93000,52900,26700,2010
Haringey,118000,35100,21800,2010
Harrow,119000,33300,22800,2010
Havering,123000,29700,22000,2010
Hillingdon,131000,29300,23000,2010
Hounslow,124000,31800,22000,2010
Islington,98000,48400,27100,2010
Kensington and Chelsea,70000,161000,34100,2010
Kingston upon Thames,78000,39200,25600,2010
Lambeth,149000,35400,24000,2010
Lewisham,117000,28700,22300,2010
Merton,106000,44000,24100,2010
Newham,118000,21900,17600,2010
Redbridge,124000,30200,22300,2010
Richmond upon Thames,101000,58900,30800,2010
Southwark,127000,36800,23300,2010
Sutton,98000,30000,23200,2010
Tower Hamlets,110000,38300,24500,2010
Waltham Forest,119000,24800,20600,2010
Wandsworth,157000,52800,29200,2010
Westminster,103000,93500,31900,2010
City of London,8000,127000,61300,2011
Barking and Dagenham,69000,22500,19400,2011
Barnet,176000,38800,24100,2011
Bexley,114000,27400,22600,2011
Brent,146000,26700,19700,2011
Bromley,161000,35900,25800,2011
Camden,101000,67100,29400,2011
Croydon,173000,29000,22000,2011
Ealing,166000,30700,20800,2011
Enfield,135000,29000,20900,2011
Greenwich,111000,30000,21300,2011
Hackney,99000,29500,22300,2011
Hammersmith and Fulham,96000,52000,27100,2011
Haringey,123000,32900,21500,2011
Harrow,125000,31100,22300,2011
Havering,123000,29000,22500,2011
Hillingdon,134000,28400,21900,2011
Hounslow,136000,30800,21600,2011
Islington,101000,47600,26100,2011
Kensington and Chelsea,72000,128000,31700,2011
Kingston upon Thames,88000,35500,24800,2011
Lambeth,153000,34200,24000,2011
Lewisham,121000,29300,23200,2011
Merton,105000,43100,24700,2011
Newham,123000,21700,17400,2011
Redbridge,128000,29400,22200,2011
Richmond upon Thames,101000,56300,30600,2011
Southwark,136000,35400,23800,2011
Sutton,103000,29100,22300,2011
Tower Hamlets,107000,37400,24000,2011
Waltham Forest,129000,24400,19700,2011
Wandsworth,159000,50700,29000,2011
Westminster,107000,83400,31400,2011
City of London,8000,117000,51600,2012
Barking and Dagenham,73000,22800,19600,2012
Barnet,179000,39200,24200,2012
Bexley,114000,28300,22300,2012
Brent,149000,27400,20200,2012
Bromley,168000,36400,25100,2012
Camden,104000,69300,30400,2012
Croydon,171000,29700,22700,2012
Ealing,162000,32000,21300,2012
Enfield,135000,30400,22300,2012
Greenwich,117000,31000,21800,2012
Hackney,101000,31200,23300,2012
Hammersmith and Fulham,98000,52700,27600,2012
Haringey,116000,34600,22200,2012
Harrow,122000,32400,23000,2012
Havering,125000,30400,22700,2012
Hillingdon,139000,30000,23500,2012
Hounslow,133000,32400,21800,2012
Islington,105000,47200,28100,2012
Kensington and Chelsea,70000,137000,37200,2012
Kingston upon Thames,82000,38700,26000,2012
Lambeth,148000,35700,24600,2012
Lewisham,126000,29800,22900,2012
Merton,106000,43700,25200,2012
Newham,127000,22000,17600,2012
Redbridge,127000,30900,22900,2012
Richmond upon Thames,104000,57400,31500,2012
Southwark,138000,36500,24300,2012
Sutton,99000,31400,25300,2012
Tower Hamlets,112000,38200,24700,2012
Waltham Forest,123000,25300,20300,2012
Wandsworth,161000,53400,29400,2012
Westminster,104000,88200,32400,2012
City of London,9000,131000,58300,2013
Barking and Dagenham,74000,23700,20100,2013
Barnet,172000,41000,25800,2013
Bexley,115000,28600,23100,2013
Brent,144000,28300,20600,2013
Bromley,169000,37200,26900,2013
Camden,105000,71200,31600,2013
Croydon,174000,30700,23900,2013
Ealing,163000,32600,22700,2013
Enfield,143000,30800,22700,2013
Greenwich,115000,31500,22600,2013
Hackney,101000,32700,24300,2013
Hammersmith and Fulham,93000,54300,27600,2013
Haringey,124000,35400,23300,2013
Harrow,124000,33300,24000,2013
Havering,128000,30600,23500,2013
Hillingdon,136000,30100,23200,2013
Hounslow,133000,32200,22400,2013
Islington,105000,48400,28500,2013
Kensington and Chelsea,70000,131000,37800,2013
Kingston upon Thames,83000,39900,26500,2013
Lambeth,148000,37600,26000,2013
Lewisham,121000,30400,23000,2013
