Borough,Year,Births rate,Deaths rate,Active enterprises
Southwark,2008,15.76,10.24,"12,845.00"
Sutton,2008,11.30,10.35,"6,905.00"
Tower Hamlets,2008,17.80,10.97,"11,490.00"
Waltham Forest,2008,15.25,12.95,"7,180.00"
Wandsworth,2008,16.87,10.67,"15,230.00"
Westminster,2008,14.67,9.63,"45,965.00"
City of London,2009,12.02,9.16,"14,895.00"
Barking and Dagenham,2009,15.79,14.76,"3,895.00"
Barnet,2009,12.10,14.96,"19,920.00"
Bexley,2009,10.43,12.68,"6,900.00"
Brent,2009,13.51,14.43,"12,475.00"
Bromley,2009,10.25,13.51,"12,880.00"
Camden,2009,10.86,12.08,"25,175.00"
Croydon,2009,11.58,13.48,"12,090.00"
Ealing,2009,13.71,13.67,"14,150.00"
Enfield,2009,12.49,15.01,"10,490.00"
Greenwich,2009,13.74,14.49,"6,695.00"
Hackney,2009,13.45,13.67,"11,230.00"
Hammersmith and Fulham,2009,13.16,14.81,"11,850.00"
Haringey,2009,13.69,13.37,"9,315.00"
Harrow,2009,13.17,13.71,"11,050.00"
Havering,2009,11.79,13.15,"8,100.00"
Hillingdon,2009,12.19,12.83,"10,090.00"
Hounslow,2009,12.98,13.08,"10,090.00"
Islington,2009,11.88,12.28,"14,010.00"
Kensington and Chelsea,2009,11.76,11.47,"12,335.00"
Kingston upon Thames,2009,11.88,13.06,"7,620.00"
Lambeth,2009,12.72,14.92,"11,360.00"
Lewisham,2009,13.49,14.80,"7,635.00"
Merton,2009,12.33,13.86,"8,800.00"
Newham,2009,17.37,16.48,"6,160.00"
Redbridge,2009,15.74,15.37,"9,435.00"
Richmond upon Thames,2009,11.50,11.34,"12,170.00"
Southwark,2009,12.76,14.58,"13,240.00"
Sutton,2009,10.34,12.15,"6,915.00"
Tower Hamlets,2009,14.65,14.65,"11,880.00"
Waltham Forest,2009,13.57,14.89,"7,185.00"
Wandsworth,2009,13.10,14.87,"15,270.00"
Westminster,2009,12.30,12.86,"47,010.00"
City of London,2010,10.93,9.07,"15,830.00"
Barking and Dagenham,2010,15.16,13.96,"4,190.00"
Barnet,2010,11.81,13.53,"20,665.00"
Bexley,2010,11.72,11.79,"7,165.00"
Brent,2010,12.94,11.16,"12,595.00"
Bromley,2010,11.38,10.88,"12,965.00"
Camden,2010,11.54,10.40,"25,380.00"
Croydon,2010,11.90,11.90,"12,560.00"
Ealing,2010,12.04,11.27,"14,240.00"
Enfield,2010,12.73,13.10,"10,920.00"
Greenwich,2010,14.80,12.50,"7,160.00"
Hackney,2010,13.42,10.51,"11,700.00"
Hammersmith and Fulham,2010,13.82,11.84,"11,865.00"
Haringey,2010,13.49,11.65,"9,825.00"
Harrow,2010,12.62,11.72,"11,645.00"
Havering,2010,10.91,11.96,"8,155.00"
Hillingdon,2010,11.63,10.99,"10,235.00"
Hounslow,2010,13.71,11.72,"10,320.00"
Islington,2010,12.27,11.74,"14,095.00"
Kensington and Chelsea,2010,13.10,10.39,"12,365.00"
Kingston upon Thames,2010,11.46,11.84,"7,725.00"
Lambeth,2010,13.74,12.15,"11,315.00"
Lewisham,2010,12.64,12.89,"7,795.00"
Merton,2010,13.44,11.62,"9,040.00"
Newham,2010,17.61,14.57,"6,900.00"
Redbridge,2010,15.11,13.52,"10,095.00"
Richmond upon Thames,2010,11.33,9.95,"12,360.00"
Southwark,2010,12.50,10.73,"14,165.00"
Sutton,2010,10.79,10.72,"7,230.00"
Tower Hamlets,2010,15.81,12.42,"12,400.00"
Waltham Forest,2010,13.92,13.73,"7,720.00"
Wandsworth,2010,14.00,12.13,"15,175.00"
Westminster,2010,12.80,10.92,"47,465.00"
City of London,2011,10.95,9.78,"16,250.00"
Barking and Dagenham,2011,19.51,10.63,"4,280.00"
Barnet,2011,13.37,12.50,"21,205.00"
Bexley,2011,13.04,9.87,"7,245.00"
Brent,2011,14.92,10.48,"12,835.00"
Bromley,2011,12.08,9.56,"13,080.00"
Camden,2011,12.34,9.43,"25,930.00"
Croydon,2011,13.82,10.79,"12,700.00"
Ealing,2011,15.17,9.99,"14,570.00"
Enfield,2011,13.93,11.70,"10,980.00"
Greenwich,2011,16.67,10.63,"7,290.00"
Hackney,2011,16.21,8.85,"12,150.00"
Hammersmith and Fulham,2011,15.36,10.49,"11,915.00"
Haringey,2011,15.69,10.19,"10,005.00"
Harrow,2011,13.48,10.88,"11,905.00"
Havering,2011,12.30,10.34,"8,170.00"
Hillingdon,2011,14.44,9.79,"10,525.00"
Hounslow,2011,17.30,9.18,"10,895.00"
Islington,2011,15.14,9.62,"14,395.00"
Kensington and Chelsea,2011,13.58,8.19,"12,265.00"
Kingston upon Thames,2011,12.68,9.78,"7,770.00"
Lambeth,2011,16.94,9.84,"11,480.00"
Lewisham,2011,17.21,11.03,"7,845.00"
Merton,2011,16.09,10.58,"9,355.00"
Newham,2011,21.96,11.67,"7,195.00"
Redbridge,2011,16.90,11.22,"10,475.00"
Richmond upon Thames,2011,12.16,10.29,"12,340.00"
Southwark,2011,13.84,12.28,"14,410.00"
Sutton,2011,11.88,9.67,"7,240.00"
Tower Hamlets,2011,18.13,10.35,"12,850.00"
Waltham Forest,2011,17.44,12.28,"7,940.00"
Wandsworth,2011,16.37,10.19,"15,455.00"
Westminster,2011,13.74,9.75,"48,240.00"
City of London,2012,11.33,9.87,"16,765.00"
Barking and Dagenham,2012,18.45,12.23,"4,580.00"
Barnet,2012,13.55,13.73,"22,110.00"
Bexley,2012,12.11,11.77,"7,390.00"
Brent,2012,14.94,11.69,"13,220.00"
Bromley,2012,12.44,10.50,"13,425.00"
Camden,2012,11.87,10.92,"26,460.00"
Croydon,2012,13.56,12.14,"13,020.00"
Ealing,2012,14.77,11.05,"15,065.00"
Enfield,2012,14.32,12.68,"11,280.00"
Greenwich,2012,16.31,11.94,"7,665.00"
Hackney,2012,16.49,10.36,"12,980.00"
Hammersmith and Fulham,2012,15.36,10.84,"12,270.00"
Haringey,2012,14.52,11.62,"10,330.00"
Harrow,2012,13.98,12.16,"12,375.00"
Havering,2012,12.93,11.68,"8,390.00"
Hillingdon,2012,13.57,11.48,"11,020.00"
Hounslow,2012,15.82,10.47,"11,505.00"
Islington,2012,15.25,10.39,"15,310.00"
Kensington and Chelsea,2012,13.40,10.06,"12,570.00"
Kingston upon Thames,2012,12.16,12.16,"8,060.00"
Lambeth,2012,28.71,10.46,"14,820.00"
Lewisham,2012,17.18,12.08,"8,235.00"
Merton,2012,15.49,12.04,"9,880.00"
Newham,2012,20.32,14.00,"7,750.00"
Redbridge,2012,16.24,13.97,"11,240.00"
Richmond upon Thames,2012,12.55,10.04,"12,705.00"
Southwark,2012,14.38,12.00,"13,875.00"
Sutton,2012,12.17,11.23,"7,480.00"
Tower Hamlets,2012,17.43,12.23,"13,740.00"
Waltham Forest,2012,16.76,13.19,"8,265.00"
Wandsworth,2012,15.00,11.65,"15,800.00"
Westminster,2012,13.88,10.45,"49,825.00"
