Borough,Year,Murder,Wounding/GBH,Assault With Injury,Common Assault,Offensive Weapon,Harassment,Other Violence,Violence Against The Person,Rape,Other Sexual,Sexual Offences,Personal Property,Business Property,Robbery,Burglary in A Dwelling,Burglary in Other Buildings,Burglary,Theft/Taking Of Motor Vehicle,Theft From Motor Vehicle,Motor Vehicle Interference and Tampering,Theft From Shops,Theft Person,Theft/Taking Of Pedal Cycles,Other Theft,Handling Stolen Goods,Theft & Handling,Counted Per Victim,Other Fraud & Forgery,Fraud & Forgery,Criminal Damage to a Dwelling,Criminal Damage To Other Buildings,Criminal Damage To Motor Vehicle,Other Criminal Damage,Criminal Damage,Drug Trafficking,Possession Of Drugs,Other Drugs,Drugs,Going Equipped,Other Notifiable,Other Notifiable Offences,Total Notifiable Offences
Redbridge,2011,2,167,1415,964,123,1307,162,4140,92,139,231,905,110,1015,2851,787,3638,1590,3090,197,1024,571,228,2445,46,9191,1180,341,1521,568,188,1177,411,2344,198,2014,5,2217,10,226,236,24533
Richmond upon Thames,2011,0,104,695,552,37,667,82,2137,29,109,138,158,14,172,1059,995,2054,287,1045,105,690,195,641,1513,22,4498,368,165,533,267,200,703,300,1470,35,560,1,596,32,119,151,11749
Southwark,2011,9,432,2771,2160,263,1701,373,7709,181,318,499,2209,137,2346,2030,1163,3193,1090,2356,178,1230,1699,1327,4982,79,12941,862,455,1317,915,371,1127,763,3176,364,4066,26,4456,29,607,636,36273
Sutton,2011,4,109,940,682,62,381,96,2274,61,118,179,240,45,285,771,842,1613,403,1635,172,1069,194,207,1502,26,5208,318,71,389,368,212,827,349,1756,49,534,5,588,8,117,125,12417
Tower Hamlets,2011,5,399,1981,1877,145,1720,175,6302,119,259,378,1104,59,1163,1231,1326,2557,825,2133,93,694,1366,1362,4179,62,10714,814,399,1213,750,392,1013,649,2804,431,2670,9,3110,41,386,427,28668
Waltham Forest,2011,7,248,1914,1327,138,1585,237,5456,114,175,289,1614,128,1742,2518,1064,3582,1344,2883,221,1144,896,459,3320,36,10303,857,643,1500,652,251,1064,618,2585,109,1676,3,1788,15,291,306,27551
Wandsworth,2011,1,162,1689,1646,83,1116,172,4869,85,274,359,1122,167,1289,1954,1261,3215,966,2646,144,1276,614,1329,3028,53,10056,634,262,896,696,247,1135,486,2564,109,1085,6,1200,19,287,306,24754
Westminster,2011,1,497,2958,2221,205,2403,465,8750,139,402,541,1859,76,1935,1345,1979,3324,646,2700,43,5055,6748,1837,20164,150,37343,1227,1017,2244,512,587,1027,725,2851,262,5868,56,6186,85,804,889,64063
Westminster,2010,3,521,2967,1957,241,2685,457,8831,113,399,512,1630,90,1720,1314,2219,3533,588,2508,31,5730,6661,2145,20282,213,38158,1117,1063,2180,591,616,1066,873,3146,236,4773,77,5086,89,767,856,64022
Camden,2010,2,283,1803,1323,154,2055,196,5816,76,230,306,1019,91,1110,1700,1582,3282,704,2173,204,1313,2386,1923,7383,102,16188,513,385,898,647,363,931,555,2496,247,2987,21,3255,35,382,417,33768
Islington,2010,3,353,1855,1527,152,1747,211,5848,80,186,266,869,122,991,1608,1244,2852,849,2418,278,1220,1401,1833,4264,113,12376,452,358,810,726,254,993,535,2508,174,2139,20,2333,31,381,412,28396
Hackney,2010,8,429,2240,1482,225,1774,482,6640,130,333,463,970,124,1094,1511,1054,2565,784,2251,291,664,1649,1548,3462,66,10715,529,398,927,701,227,938,512,2378,267,3231,33,3531,28,381,409,28722
Tower Hamlets,2010,10,449,1901,1793,178,1689,175,6195,94,242,336,890,44,934,1073,1034,2107,797,1672,92,724,1158,1348,3831,78,9700,665,365,1030,745,361,1106,736,2948,233,3068,16,3317,31,391,422,26989
Greenwich,2010,4,380,2341,1466,136,1417,383,6127,78,320,398,764,85,849,1914,1016,2930,892,2497,216,1263,658,413,2549,60,8548,752,467,1219,1298,296,1346,703,3643,117,1299,10,1426,22,469,491,25631
Lewisham,2010,8,385,2306,1876,246,2451,375,7647,123,249,372,1164,142,1306,2032,982,3014,946,2264,162,1420,775,580,2536,54,8737,1002,455,1457,1217,251,1531,786,3785,194,2447,11,2652,22,552,574,29544
Southwark,2010,6,682,2839,2122,322,2354,522,8847,157,311,468,1866,194,2060,1927,1405,3332,1043,2109,157,1230,1545,1509,4478,103,12174,902,575,1477,838,363,1232,741,3174,291,4410,31,4732,43,730,773,37037
