Borough,Year,Murder,Wounding/GBH,Assault With Injury,Common Assault,Offensive Weapon,Harassment,Other Violence,Violence Against The Person,Rape,Other Sexual,Sexual Offences,Personal Property,Business Property,Robbery,Burglary in A Dwelling,Burglary in Other Buildings,Burglary,Theft/Taking Of Motor Vehicle,Theft From Motor Vehicle,Motor Vehicle Interference and Tampering,Theft From Shops,Theft Person,Theft/Taking Of Pedal Cycles,Other Theft,Handling Stolen Goods,Theft & Handling,Counted Per Victim,Other Fraud & Forgery,Fraud & Forgery,Criminal Damage to a Dwelling,Criminal Damage To Other Buildings,Criminal Damage To Motor Vehicle,Other Criminal Damage,Criminal Damage,Drug Trafficking,Possession Of Drugs,Other Drugs,Drugs,Going Equipped,Other Notifiable,Other Notifiable Offences,Total Notifiable Offences
Lambeth,2010,7,555,2737,1958,295,1787,460,7799,186,376,562,2169,246,2415,2871,843,3714,1063,2249,49,1020,1885,1266,4734,85,12351,521,546,1067,1161,408,1386,644,3599,200,3193,20,3413,40,511,551,35471
Wandsworth,2010,6,268,2027,1595,104,1058,182,5240,98,238,336,1117,176,1293,1870,1097,2967,975,2377,113,1185,610,1315,3224,63,9862,618,316,934,696,257,1283,545,2781,98,1619,4,1721,13,331,344,25478
Hammersmith and Fulham,2010,3,228,1490,1063,176,1497,263,4720,67,151,218,698,51,749,1347,539,1886,610,2353,130,1769,966,1293,3074,100,10295,524,290,814,592,219,758,383,1952,100,1763,19,1882,52,298,350,22866
Kensington and Chelsea,2010,0,146,976,800,71,880,105,2978,47,108,155,513,37,550,922,665,1587,508,1630,46,1806,1223,920,4766,68,10967,420,589,1009,284,157,457,277,1175,109,2083,15,2207,43,202,245,20873
Waltham Forest,2010,4,277,1918,1372,142,1898,231,5842,94,216,310,1517,135,1652,2320,1052,3372,950,3118,129,1265,784,505,2349,68,9168,991,577,1568,707,256,1276,614,2853,257,1906,4,2167,26,320,346,27278
Redbridge,2010,2,258,1482,985,125,1248,197,4297,64,167,231,787,128,915,2691,726,3417,1331,2697,159,1255,675,175,2218,55,8565,1161,396,1557,541,244,1174,498,2457,82,2266,5,2353,9,226,235,24027
Havering,2010,1,233,1322,763,80,870,122,3391,56,164,220,296,50,346,1882,908,2790,813,1214,101,1448,556,146,1949,26,6253,526,172,698,443,269,1058,517,2287,95,865,1,961,10,192,202,17148
Barking and Dagenham,2010,4,268,1926,1277,126,1376,233,5210,76,190,266,760,78,838,1772,657,2429,907,1646,80,739,383,246,1611,53,5665,881,431,1312,678,174,1161,628,2641,101,1034,1,1136,16,336,352,19849
Newham,2010,7,602,2706,2257,236,1422,244,7474,150,311,461,2075,192,2267,2360,1267,3627,1159,4477,129,1100,1367,438,3267,91,12028,996,694,1690,1090,301,1521,755,3667,124,2479,11,2614,12,400,412,34240
Bexley,2010,2,155,1280,899,107,1197,158,3798,40,138,178,231,56,287,1311,699,2010,787,1375,147,812,201,125,1398,34,4879,502,167,669,566,198,1155,676,2595,57,801,4,862,10,167,177,15455
Bromley,2010,3,272,1835,1231,143,1699,158,5341,60,220,280,522,74,596,2170,1427,3597,790,2203,259,1435,392,250,2207,66,7602,1188,260,1448,807,349,1494,666,3316,83,1194,3,1280,18,305,323,23783
Croydon,2010,7,312,2676,1897,235,1594,348,7069,171,280,451,1412,208,1620,2726,1401,4127,1217,3092,209,1711,722,412,3275,72,10710,1469,393,1862,1174,427,1967,809,4377,132,2404,12,2548,8,445,453,33217
Sutton,2010,2,156,1067,794,85,428,118,2650,58,137,195,284,54,338,756,767,1523,410,1678,142,983,294,239,1269,40,5055,370,84,454,453,241,1019,368,2081,42,546,1,589,8,132,140,13025
Merton,2010,0,183,1202,867,98,911,122,3383,48,136,184,485,69,554,1107,802,1909,536,1199,79,896,284,443,1605,41,5083,366,208,574,503,186,934,424,2047,56,871,5,932,11,157,168,14834
Kingston upon Thames,2010,1,220,986,553,28,377,97,2262,38,112,150,244,21,265,643,534,1177,189,654,53,1247,410,469,1562,21,4605,283,179,462,277,219,591,289,1376,62,492,1,555,13,147,160,11012
Richmond upon Thames,2010,0,95,716,545,39,738,108,2241,30,106,136,207,21,228,917,753,1670,275,1120,112,711,184,659,1410,26,4497,317,180,497,253,190,728,352,1523,28,582,1,611,18,104,122,11525
Hounslow,2010,0,238,1862,1484,142,1589,288,5603,79,203,282,601,44,645,2001,711,2712,640,2301,97,1259,527,595,2319,52,7790,692,312,1004,701,235,1332,634,2902,138,1698,6,1842,23,337,360,23140
Hillingdon,2010,3,442,2074,1049,98,1981,223,5870,72,226,298,630,67,697,2320,882,3202,691,3007,200,1093,522,287,1979,59,7838,893,243,1136,692,237,1543,760,3232,111,1448,2,1561,15,312,327,24161
Ealing,2010,2,500,2194,1960,137,2848,407,8048,80,257,337,1355,92,1447,2828,969,3797,1016,4024,119,1311,972,668,2681,54,10845,2018,593,2611,811,305,1669,752,3537,206,2340,12,2558,14,456,470,33650
Brent,2010,3,497,2415,1786,134,1913,271,7019,106,207,313,1695,167,1862,2791,939,3730,836,2296,103,940,1314,419,2522,45,8475,1094,432,1526,709,264,1144,632,2749,272,2686,19,2977,19,359,378,29029
Harrow,2010,3,188,1093,858,81,1028,213,3464,60,148,208,416,52,468,1686,570,2256,329,1734,131,675,461,138,1503,36,5007,656,262,918,428,195,806,438,1867,67,902,5,974,11,222,233,15395
Barnet,2010,2,193,1555,1470,123,1340,175,4858,98,219,317,859,112,971,3043,1200,4243,831,3001,194,1547,1006,295,2826,79,9779,995,520,1515,596,255,1192,671,2714,107,1453,2,1562,24,282,306,26265
Haringey,2010,5,455,2023,1141,157,986,338,5105,99,248,347,948,136,1084,2664,841,3505,896,2779,38,921,1059,440,2868,81,9082,979,332,1311,920,202,1233,637,2992,191,1846,10,2047,15,247,262,25735
Enfield,2010,2,300,1677,1352,212,834,258,4635,110,231,341,1205,120,1325,2832,1104,3936,1040,2511,73,906,592,266,2042,76,7506,616,594,1210,931,291,1542,646,3410,124,1631,7,1762,22,317,339,24464
Heathrow Airport,2010,0,2,58,69,163,68,8,368,1,32,33,4,0,4,0,9,9,35,103,0,225,90,9,1549,28,2039,68,239,307,1,10,37,14,62,8,46,0,54,1,413,414,3290
Westminster,2009,3,571,2848,1668,343,2678,458,8569,96,455,551,1782,79,1861,1491,2280,3771,589,3200,35,5086,5408,1466,21003,164,36951,1112,1137,2249,512,585,1143,904,3144,314,4991,71,5376,55,804,859,63331
Camden,2009,2,386,1667,1322,178,2198,261,6014,39,157,196,918,82,1000,1795,1701,3496,810,2622,56,1066,1430,1331,7532,125,14972,522,391,913,768,374,925,552,2619,327,4090,45,4462,26,476,502,34174
Islington,2009,8,412,1808,1509,199,1607,226,5769,69,204,273,998,98,1096,1694,1322,3016,819,2406,207,1248,1305,1294,4597,157,12033,423,309,732,735,272,1087,572,2666,329,3027,19,3375,40,396,436,29396
Hackney,2009,6,433,2096,1419,336,1713,460,6463,122,298,420,1005,98,1103,1592,1161,2753,1026,2381,308,676,1399,1242,3483,118,10633,477,365,842,679,236,943,544,2402,193,4451,34,4678,45,376,421,29715
Tower Hamlets,2009,10,515,1838,1659,174,1694,180,6070,52,257,309,992,77,1069,1077,1202,2279,898,2441,123,657,878,1064,3774,103,9938,968,345,1313,822,382,1227,699,3130,233,2908,10,3151,21,432,453,27712
Greenwich,2009,6,449,2695,1272,181,1851,287,6741,75,244,319,975,100,1075,2119,1457,3576,1153,3181,281,1369,502,345,2558,84,9473,938,457,1395,1340,270,1582,728,3920,159,1632,4,1795,10,386,396,28690
Lewisham,2009,6,412,2627,2075,264,2958,456,8798,111,257,368,1236,141,1377,1976,947,2923,1134,2706,262,1247,761,356,2799,77,9342,1050,516,1566,1185,294,1672,753,3904,154,2598,8,2760,17,494,511,31549
Southwark,2009,14,673,2729,2009,370,2629,491,8915,115,304,419,1716,198,1914,1974,1353,3327,1086,3049,175,1207,1381,1142,4961,127,13128,1474,727,2201,1090,349,1462,681,3582,322,4763,30,5115,37,633,670,39271
Lambeth,2009,12,619,2544,1877,395,1768,614,7829,145,347,492,1981,200,2181,2604,877,3481,1053,2377,56,851,1494,1090,4687,97,11705,584,435,1019,1072,375,1486,699,3632,211,3977,39,4227,50,579,629,35195
Wandsworth,2009,3,249,2081,1479,139,976,176,5103,92,244,336,1030,131,1161,1825,1065,2890,1056,2734,146,1098,638,999,3394,98,10163,598,251,849,827,322,1238,531,2918,94,1251,11,1356,25,288,313,25089
Hammersmith and Fulham,2009,1,215,1632,910,167,1806,207,4938,67,164,231,640,43,683,1720,570,2290,585,2186,48,1365,872,1079,3214,95,9444,474,279,753,648,272,807,410,2137,140,2035,21,2196,47,218,265,22937
Kensington and Chelsea,2009,0,153,1089,739,118,902,145,3146,45,126,171,470,39,509,1010,846,1856,478,1827,58,1825,1226,858,4544,88,10904,364,460,824,334,184,537,299,1354,122,2793,11,2926,32,251,283,21973
Waltham Forest,2009,10,342,1792,1458,196,1506,306,5610,53,176,229,1323,160,1483,2172,1154,3326,1102,3095,65,1009,786,336,2164,93,8650,700,404,1104,759,291,1555,585,3190,229,2114,4,2347,19,281,300,26239
Redbridge,2009,3,335,1527,892,143,1008,250,4158,62,208,270,888,147,1035,2469,929,3398,1242,2748,171,1401,562,151,2167,69,8511,1672,289,1961,568,219,1353,512,2652,80,2114,5,2199,11,226,237,24421
Havering,2009,1,217,1361,664,133,646,109,3131,45,134,179,277,64,341,1500,1011,2511,1137,1575,159,1418,443,143,1781,48,6704,1059,111,1170,560,309,1330,574,2773,60,958,1,1019,11,187,198,18026
Barking and Dagenham,2009,2,331,1892,1235,174,1428,214,5276,66,139,205,674,83,757,1414,648,2062,1034,1565,147,697,299,193,1661,48,5644,827,365,1192,817,196,1436,591,3040,59,1459,3,1521,14,278,292,19989
Newham,2009,6,530,2623,1978,324,1457,245,7163,112,214,326,1477,229,1706,1908,1233,3141,1412,4776,201,1181,1099,363,3208,119,12359,1099,610,1709,1124,278,1772,774,3948,109,2599,5,2713,17,454,471,33536
Bexley,2009,4,149,1352,871,141,799,145,3461,22,116,138,336,40,376,1430,819,2249,791,1649,140,932,191,145,1363,50,5261,469,152,621,627,253,1426,604,2910,73,921,3,997,5,166,171,16184
Bromley,2009,1,319,1866,1223,154,1830,181,5574,34,193,227,687,103,790,2040,1590,3630,1135,2984,325,1684,386,237,2537,60,9348,1026,227,1253,895,458,1986,770,4109,86,1113,2,1201,22,221,243,26375
Croydon,2009,5,385,2687,1754,310,1499,286,6926,151,246,397,1192,215,1407,2547,1497,4044,1254,2898,221,1601,605,251,3229,71,10130,1490,372,1862,1215,467,2078,797,4557,130,2899,9,3038,22,400,422,32783
Sutton,2009,4,174,1124,722,118,374,133,2649,42,146,188,279,67,346,878,813,1691,546,1554,126,983,333,245,1560,40,5387,361,95,456,571,338,1177,362,2448,41,472,3,516,7,149,156,13837
Merton,2009,3,206,1280,872,116,1065,202,3744,51,164,215,465,78,543,1110,788,1898,540,1017,56,871,273,374,1552,35,4718,495,209,704,526,212,1060,390,2188,71,828,9,908,5,219,224,15142
Kingston upon Thames,2009,0,246,912,528,61,335,109,2191,19,94,113,256,17,273,607,529,1136,303,840,101,1074,360,461,1567,37,4743,257,171,428,298,236,775,318,1627,89,552,0,641,9,136,145,11297
Richmond upon Thames,2009,0,128,631,519,66,566,102,2012,21,97,118,203,26,229,981,900,1881,379,1290,98,703,179,599,1390,27,4665,237,114,351,348,216,841,310,1715,39,725,1,765,9,140,149,11885
Hounslow,2009,3,288,1852,1456,135,1522,291,5547,71,186,257,649,50,699,1771,823,2594,810,2082,61,1343,516,570,2452,53,7887,898,298,1196,749,282,1433,590,3054,138,1980,4,2122,19,373,392,23748
Hillingdon,2009,2,337,2292,765,171,2281,291,6139,44,179,223,719,65,784,2021,1121,3142,958,2705,149,1120,486,302,2230,49,7999,1011,261,1272,824,333,1736,814,3707,108,1701,1,1810,9,334,343,25419
Ealing,2009,5,488,2197,1771,209,2508,466,7644,58,256,314,1279,77,1356,2788,1081,3869,1049,3524,83,1240,912,538,2826,60,10232,1908,483,2391,815,277,1678,678,3448,175,2883,13,3071,23,403,426,32751
Brent,2009,8,520,2205,1505,222,1826,202,6488,91,195,286,1598,83,1681,2535,939,3474,748,2318,69,748,1126,275,2451,56,7791,1045,379,1424,691,247,1117,614,2669,110,2985,17,3112,10,293,303,27228
Harrow,2009,2,184,1116,736,98,771,220,3127,42,120,162,491,55,546,1599,731,2330,422,1586,128,800,413,138,1518,41,5046,580,192,772,454,159,869,391,1873,61,920,2,983,11,198,209,15048
Barnet,2009,3,278,1610,1509,146,1461,177,5184,39,208,247,794,98,892,2609,1151,3760,1006,3429,216,1640,825,156,2845,79,10196,988,487,1475,633,307,1399,625,2964,91,1227,2,1320,25,311,336,26374
Haringey,2009,7,402,2055,1121,229,1144,354,5312,62,214,276,993,145,1138,2869,907,3776,1079,3157,67,761,953,295,2746,111,9169,1052,399,1451,1019,251,1399,693,3362,251,2343,14,2608,22,271,293,27385
Enfield,2009,6,261,1669,1117,181,794,205,4233,59,194,253,1020,123,1143,3051,934,3985,1173,2891,86,923,498,175,2029,121,7896,665,434,1099,870,328,1694,627,3519,148,1971,10,2129,17,251,268,24525
Heathrow Airport,2009,0,5,53,84,251,81,16,490,5,35,40,1,0,1,0,20,20,26,119,1,280,88,3,1760,30,2307,43,272,315,0,11,36,16,63,5,103,0,108,1,471,472,3816
Westminster,2008,6,265,3075,1986,329,2340,435,8436,87,467,554,1562,83,1645,1439,2142,3581,776,3299,26,3904,6496,1420,21767,177,37865,452,1662,2114,524,635,1247,794,3200,306,5366,61,5733,64,742,806,63934
Camden,2008,5,162,1802,1666,163,1727,274,5799,41,199,240,1241,92,1333,2304,1559,3863,855,3865,21,969,2262,1111,8043,112,17238,197,548,745,782,361,1314,524,2981,224,2507,63,2794,15,390,405,35398
Islington,2008,4,124,2020,1312,201,1455,248,5364,68,205,273,1119,86,1205,2113,1232,3345,838,3152,88,915,1687,1301,5480,122,13583,111,353,464,837,285,1319,475,2916,154,2595,14,2763,29,286,315,30228
Hackney,2008,7,198,2523,1467,406,1927,525,7053,94,281,375,1202,111,1313,1837,928,2765,1275,2728,116,732,1537,1127,4225,122,11862,278,618,896,977,291,1290,500,3058,176,4308,27,4511,47,361,408,32241
Tower Hamlets,2008,2,297,2508,1642,239,1794,219,6701,68,286,354,1305,62,1367,1585,1180,2765,1161,3004,63,710,1117,1109,4762,101,12027,408,490,898,825,367,1556,578,3326,136,2812,14,2962,41,451,492,30892
Greenwich,2008,8,160,2509,1875,172,2208,338,7270,76,248,324,1173,121,1294,2194,1226,3420,1453,3189,160,1082,544,400,3280,57,10165,443,811,1254,1468,349,2069,623,4509,136,1858,9,2003,17,361,378,30617
Lewisham,2008,4,143,3045,1910,244,2482,548,8376,101,269,370,1501,166,1667,2211,938,3149,1545,2301,107,1052,931,331,2994,85,9346,657,789,1446,1244,302,1805,632,3983,141,2154,4,2299,19,400,419,31055
Southwark,2008,8,340,2917,1979,342,2632,646,8864,93,254,347,2014,167,2181,2635,1505,4140,1257,3227,99,1044,1509,974,5721,135,13966,1035,984,2019,1067,375,1751,596,3789,228,3834,23,4085,45,593,638,40029
Lambeth,2008,23,243,3006,1708,395,1724,565,7664,99,314,413,2206,222,2428,2837,854,3691,1207,2614,110,775,1720,777,5065,160,12428,252,555,807,1413,408,1623,564,4008,268,3445,54,3767,36,613,649,35855
Wandsworth,2008,3,157,2220,1372,156,1045,289,5242,90,253,343,1223,168,1391,2340,1015,3355,1269,2915,159,994,827,1114,3755,133,11166,487,412,899,845,280,1376,512,3013,93,1519,3,1615,42,233,275,27299
Hammersmith and Fulham,2008,4,95,1733,885,179,1802,285,4983,54,193,247,804,53,857,1947,687,2634,561,2895,69,986,898,834,3038,100,9381,251,347,598,596,274,1031,366,2267,103,1857,23,1983,26,243,269,23219
Kensington and Chelsea,2008,0,91,1145,716,163,928,125,3168,31,123,154,627,32,659,1086,697,1783,566,2360,46,1801,1386,820,5511,74,12564,168,491,659,423,206,628,294,1551,73,2638,10,2721,47,179,226,23485
Waltham Forest,2008,5,137,2349,1281,189,1217,245,5423,58,156,214,1361,110,1471,1746,1177,2923,1373,2987,48,896,751,378,2384,91,8908,411,624,1035,755,305,1773,453,3286,86,2086,1,2173,11,307,318,25751
Redbridge,2008,5,110,1761,757,143,1237,223,4236,50,150,200,815,110,925,1963,925,2888,1293,2579,169,1131,509,142,2068,45,7936,902,538,1440,514,226,1303,378,2421,94,2207,1,2302,6,190,196,22544
Havering,2008,3,110,1417,719,122,606,146,3123,34,98,132,265,47,312,1101,1120,2221,1150,1593,123,1157,358,122,1728,52,6283,647,253,900,576,366,1475,510,2927,32,1122,2,1156,6,140,146,17200
Barking and Dagenham,2008,3,129,1969,1168,189,1322,173,4953,51,237,288,556,63,619,856,699,1555,1254,1784,95,584,287,179,1935,56,6174,618,578,1196,810,260,1585,538,3193,62,1251,2,1315,10,233,243,19536
Newham,2008,10,236,3245,2336,286,1194,405,7712,117,223,340,2106,251,2357,2074,1064,3138,1719,5192,138,1087,1243,308,3377,95,13159,1014,900,1914,1038,286,2037,664,4025,104,2280,3,2387,20,396,416,35448
Bexley,2008,2,72,1438,851,100,647,118,3228,21,132,153,361,31,392,1244,936,2180,852,1572,135,737,223,158,1880,41,5598,417,297,714,672,317,1832,621,3442,47,888,2,937,10,157,167,16811
Bromley,2008,6,102,2139,1078,119,1445,157,5046,35,209,244,650,126,776,1801,1533,3334,1146,2522,211,1357,503,199,2721,68,8727,829,301,1130,1000,532,2337,783,4652,103,961,4,1068,18,200,218,25195
Croydon,2008,9,134,2861,1634,251,1199,282,6370,84,288,372,1474,203,1677,2224,1457,3681,1445,2428,128,1190,596,262,3194,94,9337,1124,492,1616,1300,557,2235,623,4715,97,2357,12,2466,7,346,353,30587
Sutton,2008,2,87,1226,710,82,325,127,2559,28,126,154,322,57,379,812,733,1545,622,1694,98,878,271,193,1499,36,5291,174,152,326,554,347,1217,368,2486,36,421,2,459,4,137,141,13340
Merton,2008,3,70,1437,741,158,1046,215,3670,45,157,202,444,95,539,910,697,1607,636,1211,83,799,264,307,1600,45,4945,281,383,664,517,251,1048,345,2161,58,955,4,1017,13,207,220,15025
Kingston upon Thames,2008,1,47,1261,622,81,432,131,2575,28,122,150,259,26,285,503,566,1069,303,971,76,969,410,516,1920,40,5205,156,212,368,339,248,888,305,1780,100,574,2,676,5,163,168,12276
Richmond upon Thames,2008,0,21,813,553,36,422,85,1930,16,133,149,263,24,287,1034,898,1932,395,1241,130,647,147,642,1668,36,4906,136,153,289,295,294,839,312,1740,19,712,2,733,14,93,107,12073
Hounslow,2008,2,105,2056,1404,125,1295,365,5352,70,197,267,780,56,836,1613,914,2527,933,2407,68,1152,494,543,2342,39,7978,605,467,1072,812,373,1630,635,3450,124,1735,3,1862,14,265,279,23623
Hillingdon,2008,3,127,2614,803,124,1945,266,5882,24,226,250,697,96,793,2250,1111,3361,1216,3265,7,1062,507,297,2207,60,8621,676,393,1069,925,472,2032,781,4210,230,1698,4,1932,15,266,281,26399
Ealing,2008,5,221,2529,1694,221,2457,595,7722,38,269,307,1438,111,1549,3048,1203,4251,1379,3913,155,1078,935,418,2983,98,10959,759,516,1275,850,331,2198,565,3944,151,3369,23,3543,19,394,413,33963
Brent,2008,5,161,2278,1487,222,1462,315,5930,96,247,343,2030,155,2185,2553,867,3420,1049,2911,16,607,1298,305,2501,90,8777,619,508,1127,677,265,1511,458,2911,267,2829,11,3107,23,303,326,28126
Harrow,2008,1,85,1118,660,83,512,117,2576,42,126,168,469,59,528,1541,754,2295,548,1768,26,555,537,121,1562,24,5141,355,251,606,394,213,814,349,1770,57,794,1,852,5,133,138,14074
Barnet,2008,3,70,1795,1480,125,1526,241,5240,51,218,269,843,114,957,2694,1405,4099,1193,3450,119,1483,602,194,3062,60,10163,525,449,974,704,420,1703,528,3355,68,1219,5,1292,14,282,296,26645
Haringey,2008,4,121,2427,1033,237,1162,390,5374,70,226,296,1356,147,1503,2877,844,3721,1234,3358,54,816,1736,343,3302,169,11012,669,638,1307,1097,336,1582,688,3703,218,2065,5,2288,13,270,283,29487
Enfield,2008,10,153,1608,1151,233,856,225,4236,57,189,246,1175,111,1286,2465,1170,3635,1380,3005,130,949,625,231,2268,121,8709,291,580,871,946,309,1885,516,3656,104,2257,8,2369,14,253,267,25275
Heathrow Airport,2008,0,1,114,107,394,64,6,686,2,26,28,4,0,4,0,21,21,23,154,0,322,95,7,2120,15,2736,27,292,319,1,8,39,17,65,4,86,0,90,3,450,453,4402
Westminster,2007,4,243,3063,2229,339,2050,486,8414,131,441,572,1697,59,1756,1448,2353,3801,735,3567,34,4035,6299,1277,24061,268,40276,1847,419,2266,516,621,1201,732,3070,308,4877,49,5234,105,773,878,66267
Camden,2007,7,172,2351,1768,192,1742,354,6586,70,269,339,1516,81,1597,2515,1807,4322,1200,4328,25,1157,3912,1329,9637,105,21693,986,152,1138,941,515,1741,603,3800,375,2015,55,2445,37,478,515,42435
Islington,2007,6,207,2403,1383,186,1788,316,6289,89,205,294,1381,107,1488,2450,1278,3728,1192,3581,113,953,2466,1682,6728,60,16775,1267,120,1387,928,352,1621,532,3433,153,1380,7,1540,34,280,314,35248
Hackney,2007,11,251,2425,1793,378,1711,579,7148,109,276,385,1570,115,1685,1841,846,2687,1390,2836,147,734,1756,1167,4368,123,12521,654,132,786,1028,319,1355,440,3142,241,2199,26,2466,35,305,340,31160
Tower Hamlets,2007,3,277,2696,1899,292,2209,351,7727,103,300,403,1829,79,1908,1638,1252,2890,1289,2965,80,637,1227,1061,5104,121,12484,787,108,895,924,418,1651,530,3523,199,1985,14,2198,63,536,599,32627
Greenwich,2007,3,211,2280,2384,212,2092,304,7486,107,254,361,1382,97,1479,1929,1312,3241,1420,2195,171,1037,536,395,2936,43,8733,1725,196,1921,1538,484,2332,653,5007,113,1202,2,1317,26,258,284,29829
Lewisham,2007,4,138,3396,1832,292,1933,467,8062,106,305,411,2477,158,2635,2492,1087,3579,1686,2171,105,1004,1096,362,3095,102,9621,1532,227,1759,1285,325,1779,663,4052,192,1445,7,1644,24,363,387,32150
Southwark,2007,10,270,2885,2139,303,2154,674,8435,118,337,455,2477,218,2695,2373,1714,4087,1492,3409,149,1104,1504,1248,5703,98,14707,1829,250,2079,1117,454,1824,636,4031,286,2366,10,2662,27,535,562,39713
Lambeth,2007,15,300,3333,1951,481,1702,562,8344,127,341,468,2674,237,2911,2774,911,3685,1293,2896,121,884,1963,1022,5552,120,13851,922,138,1060,1430,479,1938,616,4463,457,2958,38,3453,44,589,633,38868
Wandsworth,2007,9,124,2334,1490,160,1271,259,5647,81,261,342,1636,88,1724,2634,1309,3943,1167,3109,85,1362,1006,1357,3689,52,11827,1024,115,1139,831,359,1292,474,2956,88,2092,11,2191,31,239,270,30039
Hammersmith and Fulham,2007,4,97,1904,1127,170,1475,277,5054,62,147,209,1108,64,1172,2118,614,2732,624,3477,91,1079,1316,1046,3624,71,11328,714,102,816,664,284,1084,349,2381,98,1286,6,1390,33,219,252,25334
Kensington and Chelsea,2007,1,100,1170,932,122,1156,116,3597,49,152,201,764,23,787,1385,797,2182,786,2368,17,1472,1472,758,6369,66,13308,598,206,804,428,241,766,271,1706,179,1319,13,1511,48,184,232,24328
Waltham Forest,2007,4,152,2602,1381,207,1396,310,6052,74,166,240,1802,152,1954,1854,1262,3116,1448,3743,99,857,926,366,2719,89,10247,1396,160,1556,801,386,1869,454,3510,67,1831,5,1903,6,343,349,28927
Redbridge,2007,1,133,2024,716,149,1054,246,4323,52,152,204,1206,147,1353,2107,946,3053,1384,3190,215,1030,596,168,2795,42,9420,2091,131,2222,527,293,1459,369,2648,80,1132,1,1213,9,201,210,24646
Havering,2007,5,146,1682,822,140,675,169,3639,38,109,147,469,80,549,1175,1336,2511,1237,2442,120,1190,497,130,1982,38,7636,1219,46,1265,667,506,1640,608,3421,49,610,0,659,7,163,170,19997
Barking and Dagenham,2007,6,139,2148,1116,191,1354,196,5150,68,195,263,704,101,805,1196,921,2117,1159,1839,93,610,362,174,2223,80,6540,1332,253,1585,1006,345,1782,563,3696,110,873,2,985,21,222,243,21384
Newham,2007,13,219,3268,2028,345,1304,401,7578,96,264,360,2273,247,2520,2155,1216,3371,1885,4519,157,934,1297,275,3921,103,13091,2146,268,2414,1201,311,2130,548,4190,211,1439,7,1657,20,396,416,35597
Bexley,2007,2,92,1748,996,117,675,112,3742,35,146,181,388,60,448,1105,971,2076,896,1191,109,884,158,115,1527,37,4917,742,91,833,777,449,1920,885,4031,54,500,2,556,10,203,213,16997
Bromley,2007,3,96,2464,1222,162,1618,132,5697,46,215,261,990,125,1115,1996,1592,3588,1176,3064,193,1674,442,212,2870,53,9684,1234,92,1326,1138,691,2746,951,5526,61,928,7,996,8,223,231,28424
Croydon,2007,3,147,3133,1772,272,1145,269,6741,97,257,354,1653,176,1829,2099,1365,3464,1515,2670,181,1262,682,264,3618,59,10251,1929,144,2073,1334,585,2442,653,5014,98,1409,8,1515,14,255,269,31510
Sutton,2007,2,110,1416,832,102,406,121,2989,33,106,139,374,39,413,657,794,1451,619,1662,124,1199,255,232,1627,42,5760,507,51,558,549,561,1537,599,3246,44,623,0,667,6,179,185,15408
Merton,2007,5,89,1480,742,128,727,190,3361,42,135,177,549,49,598,997,831,1828,712,1388,56,802,316,320,2352,25,5971,852,94,946,554,300,1207,423,2484,46,433,2,481,14,218,232,16078
Kingston upon Thames,2007,2,61,1573,615,86,556,110,3003,28,124,152,281,21,302,515,523,1038,300,870,61,1018,356,479,2076,26,5186,405,40,445,366,407,1105,412,2290,47,502,3,552,8,129,137,13105
Richmond upon Thames,2007,2,43,945,590,61,387,94,2122,24,105,129,387,21,408,1053,1032,2085,433,1578,182,774,174,739,1718,18,5616,246,47,293,393,399,1078,398,2268,35,367,0,402,15,70,85,13408
Hounslow,2007,4,113,2177,1472,117,1291,328,5502,78,196,274,822,47,869,1671,923,2594,1029,3085,83,1127,499,569,2528,38,8958,1106,111,1217,805,416,1945,616,3782,74,925,6,1005,13,271,284,24485
Hillingdon,2007,7,192,2627,821,149,1836,279,5911,35,220,255,874,100,974,1874,1308,3182,1678,3729,9,1363,568,247,2358,31,9983,934,92,1026,969,579,2474,788,4810,114,1526,7,1647,8,348,356,28144
Ealing,2007,9,273,2861,1783,234,1964,517,7641,56,263,319,2280,79,2359,2693,1264,3957,1758,4910,152,1328,1102,448,3349,70,13117,1227,173,1400,1103,488,2692,698,4981,108,2366,9,2483,20,457,477,36734
Brent,2007,4,193,2460,1546,242,1474,297,6216,93,243,336,2036,108,2144,2289,1041,3330,1279,3343,20,642,1530,259,3211,46,10330,1353,134,1487,756,375,1680,489,3300,155,2785,9,2949,14,368,382,30474
Harrow,2007,2,70,1183,864,81,511,159,2870,45,155,200,728,41,769,1334,625,1959,556,2104,47,692,660,121,2004,15,6199,769,81,850,464,180,1079,351,2074,55,669,0,724,6,186,192,15837
Barnet,2007,5,116,2138,1410,163,1427,253,5512,67,234,301,935,128,1063,2467,1437,3904,1356,3938,174,1914,425,247,3715,49,11818,1934,142,2076,778,463,2061,647,3949,96,918,1,1015,19,263,282,29920
Haringey,2007,4,171,2634,1082,213,1119,428,5651,76,220,296,1804,142,1946,2709,850,3559,1376,3081,42,1026,1902,392,3606,93,11518,1508,146,1654,934,318,1525,519,3296,239,2107,5,2351,9,315,324,30595
Enfield,2007,2,155,2090,1426,252,1133,284,5342,66,175,241,1385,122,1507,2390,1248,3638,1493,2683,181,843,611,179,2987,84,9061,1097,80,1177,1022,345,1882,492,3741,122,1968,9,2099,11,241,252,27058
