Borough,Total Job seekers,Job seeker Rate,Year
Ealing,34410,15.6,2010
Enfield,36210,18.9,2010
Greenwich,28120,18.3,2010
Hackney,37910,24.8,2010
Hammersmith and Fulham,19270,15.7,2010
Haringey,37990,23.9,2010
Harrow,16000,10.4,2010
Havering,19610,13.1,2010
Hillingdon,21480,12.1,2010
Hounslow,20160,12.2,2010
Islington,28260,19.3,2010
Kensington and Chelsea,13500,11.5,2010
Kingston upon Thames,7970,6.7,2010
Lambeth,43220,20.4,2010
Lewisham,35660,19.0,2010
Merton,14040,9.6,2010
Newham,39520,24.7,2010
Redbridge,25510,14.3,2010
Richmond upon Thames,8530,6.6,2010
Southwark,38370,18.1,2010
Sutton,13110,10.2,2010
Tower Hamlets,39460,22.6,2010
Waltham Forest,33030,21.6,2010
Wandsworth,24590,11.4,2010
Westminster,19580,10.1,2010
City of London,480,8.4,2011
Barking and Dagenham,28320,23.8,2011
Barnet,26950,11.4,2011
Bexley,17990,12.2,2011
Brent,37510,17.3,2011
Bromley,22490,11.4,2011
Camden,21730,13.5,2011
Croydon,40600,16.9,2011
Ealing,35110,15.0,2011
Enfield,40530,19.8,2011
Greenwich,30220,17.4,2011
Hackney,42680,23.9,2011
Hammersmith and Fulham,20490,15.0,2011
Haringey,40780,22.5,2011
Harrow,15940,10.1,2011
Havering,20460,13.6,2011
Hillingdon,19680,10.8,2011
Hounslow,20460,11.6,2011
Islington,28000,18.0,2011
Kensington and Chelsea,13340,11.7,2011
Kingston upon Thames,7710,7.0,2011
Lambeth,46670,20.6,2011
Lewisham,39900,20.6,2011
Merton,14900,10.8,2011
Newham,44560,20.3,2011
Redbridge,27430,14.9,2011
Richmond upon Thames,7810,6.3,2011
Southwark,42930,20.2,2011
Sutton,13400,10.7,2011
Tower Hamlets,42390,22.3,2011
Waltham Forest,36880,20.7,2011
Wandsworth,25380,11.1,2011
Westminster,20480,12.6,2011
City of London,480,8.1,2012
Barking and Dagenham,28180,22.8,2012
Barnet,26800,11.1,2012
Bexley,17970,11.8,2012
Brent,38900,17.8,2012
Bromley,23370,11.6,2012
Camden,20820,12.7,2012
Croydon,41420,16.9,2012
Ealing,34690,14.6,2012
Enfield,40060,19.1,2012
Greenwich,31030,17.1,2012
Hackney,40130,21.7,2012
Hammersmith and Fulham,19070,14.0,2012
Haringey,39110,21.1,2012
Harrow,15950,10.0,2012
Havering,21520,13.8,2012
Hillingdon,20170,10.8,2012
Hounslow,19730,10.9,2012
Islington,27180,16.9,2012
Kensington and Chelsea,12140,10.7,2012
Kingston upon Thames,7890,7.0,2012
Lambeth,47280,20.3,2012
Lewisham,40710,20.5,2012
Merton,15330,10.9,2012
Newham,44490,19.7,2012
Redbridge,26640,14.0,2012
Richmond upon Thames,7640,6.0,2012
Southwark,42920,19.7,2012
Sutton,13630,10.6,2012
Tower Hamlets,42500,21.5,2012
Waltham Forest,37970,20.7,2012
Wandsworth,25100,10.7,2012
Westminster,19340,11.6,2012
City of London,400,5.1,2013
Barking and Dagenham,24980,14.5,2013
Barnet,23600,7.1,2013
Bexley,16080,7.7,2013
Brent,35690,11.9,2013
Bromley,18780,6.6,2013
Camden,17670,7.7,2013
Croydon,34770,10.2,2013
Ealing,32300,10.1,2013
Enfield,35410,12.3,2013
Greenwich,27170,10.9,2013
Hackney,35280,13.7,2013
Hammersmith and Fulham,18030,10.1,2013
Haringey,34540,13.4,2013
Harrow,13580,6.2,2013
Havering,18330,8.5,2013
Hillingdon,18080,6.8,2013
Hounslow,18260,7.4,2013
Islington,24160,10.7,2013
Kensington and Chelsea,10520,6.9,2013
Kingston upon Thames,7130,4.5,2013
Lambeth,42570,13.2,2013
Lewisham,35580,12.8,2013
Merton,13760,7.2,2013
Newham,39470,12.7,2013
Redbridge,22990,8.7,2013
Richmond upon Thames,7460,4.3,2013
Southwark,37970,12.5,2013
Sutton,11680,6.5,2013
Tower Hamlets,37070,13.3,2013
Waltham Forest,33830,13.5,2013
Wandsworth,23230,7.3,2013
Westminster,16630,7.3,2013
City of London,340,5.7,2014
