Borough,Unemployment Level,Unemployment Rate,Year
Bromley,11000,6.9,2011
Camden,9700,8.8,2011
Croydon,19600,10.8,2011
Ealing,17700,10.0,2011
Enfield,18300,12.0,2011
Greenwich,14300,10.8,2011
Hackney,14500,10.7,2011
Hammersmith and Fulham,8200,8.1,2011
Haringey,15700,11.5,2011
Harrow,8900,7.0,2011
Havering,10200,8.2,2011
Hillingdon,11100,7.8,2011
Hounslow,11000,7.9,2011
Islington,11200,9.5,2011
Kensington and Chelsea,5900,7.3,2011
Kingston upon Thames,5400,6.6,2011
Lambeth,19200,10.4,2011
Lewisham,15500,10.4,2011
Merton,8400,7.8,2011
Newham,19900,14.2,2011
Redbridge,13800,10.5,2011
Richmond upon Thames,5000,4.8,2011
Southwark,18200,11.7,2011
Sutton,7100,7.0,2011
Tower Hamlets,17000,13.0,2011
Waltham Forest,16000,11.5,2011
Wandsworth,12000,6.5,2011
Westminster,9100,7.8,2011
Barking and Dagenham,11800,13.5,2012
Barnet,15900,8.9,2012
Bexley,9200,7.7,2012
Brent,16900,10.3,2012
Bromley,10800,6.6,2012
Camden,9100,7.7,2012
Croydon,20300,10.4,2012
Ealing,19400,10.8,2012
Enfield,17300,11.4,2012
Greenwich,14900,10.7,2012
Hackney,14100,10.7,2012
Hammersmith and Fulham,8800,8.6,2012
Haringey,14200,10.3,2012
Harrow,9800,7.8,2012
Havering,11100,9.4,2012
Hillingdon,12100,8.2,2012
Hounslow,10400,7.5,2012
Islington,11300,9.6,2012
Kensington and Chelsea,5200,6.4,2012
Kingston upon Thames,5400,6.2,2012
Lambeth,18300,10.0,2012
Lewisham,15800,10.5,2012
Merton,8000,7.3,2012
Newham,19200,12.6,2012
Redbridge,12800,9.4,2012
Richmond upon Thames,4900,4.6,2012
Southwark,16700,10.0,2012
Sutton,7000,6.7,2012
Tower Hamlets,16500,12.2,2012
Waltham Forest,14800,10.8,2012
Wandsworth,12300,6.6,2012
Westminster,8700,7.3,2012
Barking and Dagenham,12500,13.6,2013
Barnet,12800,6.6,2013
Bexley,9600,8.1,2013
Brent,16200,9.9,2013
Bromley,10100,6.1,2013
Camden,8900,7.7,2013
Croydon,17500,8.7,2013
Ealing,17700,10.2,2013
Enfield,14800,9.4,2013
Greenwich,13700,10.5,2013
Hackney,14600,11.0,2013
Hammersmith and Fulham,8400,8.1,2013
Haringey,13800,9.7,2013
Harrow,9700,8.0,2013
Havering,10700,8.9,2013
Hillingdon,11500,7.7,2013
Hounslow,10600,7.4,2013
Islington,12300,9.9,2013
Kensington and Chelsea,5700,7.1,2013
Kingston upon Thames,5100,5.6,2013
Lambeth,17700,8.7,2013
Lewisham,15800,10.0,2013
Merton,7000,6.0,2013
Newham,18700,11.7,2013
Redbridge,13300,9.2,2013
Richmond upon Thames,4500,4.3,2013
Southwark,17700,11.1,2013
Sutton,6900,6.4,2013
Tower Hamlets,19100,13.2,2013
Waltham Forest,13600,9.5,2013
Wandsworth,14000,7.5,2013
Westminster,8300,6.7,2013
Barking and Dagenham,9600,10.8,2014
Barnet,12400,6.5,2014
Bexley,7000,5.8,2014
Brent,12200,7.4,2014
Bromley,9300,5.6,2014
Camden,8300,6.8,2014
Croydon,14400,7.3,2014
Ealing,14000,7.8,2014
Enfield,13200,8.3,2014
Greenwich,12300,9.1,2014
Hackney,11500,8.1,2014
Hammersmith and Fulham,6700,6.1,2014
Haringey,11500,8.1,2014
Harrow,7000,5.5,2014
Havering,8100,6.4,2014
Hillingdon,9500,6.2,2014
Hounslow,8900,6.0,2014
Islington,9700,7.8,2014
Kensington and Chelsea,4800,5.8,2014
Kingston upon Thames,4800,5.3,2014
Lambeth,13700,6.6,2014
Lewisham,10900,6.7,2014
Merton,6900,6.1,2014
Newham,14000,9.1,2014
Redbridge,10200,6.8,2014
Richmond upon Thames,4800,4.5,2014
Southwark,14000,8.1,2014
Sutton,5800,5.4,2014
Tower Hamlets,13700,8.9,2014
Waltham Forest,12800,9.3,2014
Wandsworth,9600,5.0,2014
Westminster,7500,6.1,2014
